Process, Parameter, Value
QUERY-EXEC | loop-1 | g7-q5a, END, 2024-01-27 14:32:07.918250+00
QUERY-EXEC | loop-1 | g7-q5a, EXECTIME, d:h:m:s.ms | 0:0:30:28.52
QUERY-EXEC | loop-1 | h8-q5b, START, 2024-01-27 14:32:10.945718+00
QUERY-EXEC | loop-1 | h8-q5b, END, 2024-01-27 14:47:57.160152+00
QUERY-EXEC | loop-1 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:15:46.214
QUERY-EXEC | loop-1 | i9-q6, START, 2024-01-27 14:48:00.167926+00
QUERY-EXEC | loop-1 | i9-q6, END, 2024-01-27 15:04:41.172994+00
QUERY-EXEC | loop-1 | i9-q6, EXECTIME, d:h:m:s.ms | 0:0:16:41.5
QUERY-EXEC | loop-1 | j10-q7, START, 2024-01-27 15:04:44.180945+00
QUERY-EXEC | loop-1 | j10-q7, END, 2024-01-27 15:07:59.881363+00
QUERY-EXEC | loop-1 | j10-q7, EXECTIME, d:h:m:s.ms | 0:0:3:15.700
QUERY-EXEC | loop-1 | k11-q8, START, 2024-01-27 15:08:02.889278+00
QUERY-EXEC | loop-1 | k11-q8, END, 2024-01-27 15:23:02.736504+00
QUERY-EXEC | loop-1 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:14:59.847
QUERY-EXEC | loop-1 | l12-q9, START, 2024-01-27 15:23:05.744565+00
QUERY-EXEC | loop-1 | l12-q9, END, 2024-01-27 15:53:20.397585+00
QUERY-EXEC | loop-1 | l12-q9, EXECTIME, d:h:m:s.ms | 0:0:30:14.653
QUERY-EXEC | loop-1 | m13-q10, START, 2024-01-27 15:53:23.406037+00
QUERY-EXEC | loop-1 | m13-q10, END, 2024-01-27 15:59:35.256099+00
QUERY-EXEC | loop-1 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:6:11.850
QUERY-EXEC | loop-1 | n14-q11, START, 2024-01-27 15:59:38.264045+00
QUERY-EXEC | loop-1 | n14-q11, END, 2024-01-27 16:00:54.088237+00
QUERY-EXEC | loop-1 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:1:15.824
QUERY-EXEC | loop-1 | o15-q12a, START, 2024-01-27 16:00:57.096206+00
QUERY-EXEC | loop-1 | o15-q12a, END, 2024-01-27 16:27:49.282629+00
QUERY-EXEC | loop-1 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:26:52.186
QUERY-EXEC | loop-1 | p16-q12b, START, 2024-01-27 16:27:52.290474+00
QUERY-EXEC | loop-1 | p16-q12b, END, 2024-01-27 16:46:40.567977+00
QUERY-EXEC | loop-1 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:18:48.277
QUERY-EXEC | loop-1 | q17-q12c, START, 2024-01-27 16:46:43.575917+00
QUERY-EXEC | loop-1 | q17-q12c, END, 2024-01-27 16:47:29.106122+00
QUERY-EXEC | loop-1 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:45.530
QUERY-PENALTY | loop-1 | b2-q2.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | i9-q6.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | l12-q9.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | g7-q5a.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | f6-q4.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | j10-q7.sql, PENALTY-TIME, 3600000.000 ms
QUERY-EXEC | loop-2 | a1-q1, START, 2024-01-27 16:47:33.307896+00
QUERY-EXEC | loop-2 | a1-q1, END, 2024-01-27 16:51:38.179667+00
QUERY-EXEC | loop-2 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:4:4.871
QUERY-EXEC | loop-2 | c3-q3a, START, 2024-01-27 16:51:41.187548+00
QUERY-EXEC | loop-2 | c3-q3a, END, 2024-01-27 17:00:06.818990+00
QUERY-EXEC | loop-2 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:8:25.631
QUERY-EXEC | loop-2 | d4-q3b, START, 2024-01-27 17:00:09.827019+00
QUERY-EXEC | loop-2 | d4-q3b, END, 2024-01-27 17:07:51.725299+00
QUERY-EXEC | loop-2 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:7:41.898
QUERY-EXEC | loop-2 | e5-q3c, START, 2024-01-27 17:07:54.733196+00
QUERY-EXEC | loop-2 | e5-q3c, END, 2024-01-27 17:15:37.208448+00
QUERY-EXEC | loop-2 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:7:42.475
QUERY-EXEC | loop-2 | h8-q5b, START, 2024-01-27 17:15:40.216350+00
QUERY-EXEC | loop-2 | h8-q5b, END, 2024-01-27 17:30:56.614941+00
QUERY-EXEC | loop-2 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:15:16.398
QUERY-EXEC | loop-2 | k11-q8, START, 2024-01-27 17:30:59.622776+00
QUERY-EXEC | loop-2 | k11-q8, END, 2024-01-27 17:46:07.625778+00
QUERY-EXEC | loop-2 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:15:8.3
QUERY-EXEC | loop-2 | m13-q10, START, 2024-01-27 17:46:10.633711+00
QUERY-EXEC | loop-2 | m13-q10, END, 2024-01-27 17:52:24.375186+00
QUERY-EXEC | loop-2 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:6:13.741
QUERY-EXEC | loop-2 | n14-q11, START, 2024-01-27 17:52:27.383219+00
QUERY-EXEC | loop-2 | n14-q11, END, 2024-01-27 17:53:42.607209+00
QUERY-EXEC | loop-2 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:1:15.223
QUERY-EXEC | loop-2 | o15-q12a, START, 2024-01-27 17:53:45.615254+00
QUERY-EXEC | loop-2 | o15-q12a, END, 2024-01-27 18:20:19.416121+00
QUERY-EXEC | loop-2 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:26:33.800
QUERY-EXEC | loop-2 | p16-q12b, START, 2024-01-27 18:20:22.424128+00
QUERY-EXEC | loop-2 | p16-q12b, END, 2024-01-27 18:37:42.583217+00
QUERY-EXEC | loop-2 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:17:20.159
QUERY-EXEC | loop-2 | q17-q12c, START, 2024-01-27 18:37:45.591101+00
QUERY-EXEC | loop-2 | q17-q12c, END, 2024-01-27 18:38:31.066236+00
QUERY-EXEC | loop-2 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:45.475
QUERY-SKIP | loop-2 | b2-q2, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-2 | i9-q6, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-2 | l12-q9, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-2 | g7-q5a, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-2 | f6-q4, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-2 | j10-q7, PENALTY, 3600000.000 ms
QUERY-EXEC | loop-3 | a1-q1, START, 2024-01-27 18:38:34.555904+00
QUERY-EXEC | loop-3 | a1-q1, END, 2024-01-27 18:42:40.022272+00
QUERY-EXEC | loop-3 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:4:5.466
QUERY-EXEC | loop-3 | c3-q3a, START, 2024-01-27 18:42:43.030277+00
QUERY-EXEC | loop-3 | c3-q3a, END, 2024-01-27 18:51:08.716953+00
QUERY-EXEC | loop-3 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:8:25.686
QUERY-EXEC | loop-3 | d4-q3b, START, 2024-01-27 18:51:11.725146+00
QUERY-EXEC | loop-3 | d4-q3b, END, 2024-01-27 18:58:52.521496+00
QUERY-EXEC | loop-3 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:7:40.796
QUERY-EXEC | loop-3 | e5-q3c, START, 2024-01-27 18:58:55.529521+00
QUERY-EXEC | loop-3 | e5-q3c, END, 2024-01-27 19:06:37.103920+00
QUERY-EXEC | loop-3 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:7:41.574
QUERY-EXEC | loop-3 | h8-q5b, START, 2024-01-27 19:06:40.111807+00
QUERY-EXEC | loop-3 | h8-q5b, END, 2024-01-27 19:21:58.755314+00
QUERY-EXEC | loop-3 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:15:18.643
QUERY-EXEC | loop-3 | k11-q8, START, 2024-01-27 19:22:01.763249+00
QUERY-EXEC | loop-3 | k11-q8, END, 2024-01-27 19:37:11.086725+00
QUERY-EXEC | loop-3 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:15:9.323
QUERY-EXEC | loop-3 | m13-q10, START, 2024-01-27 19:37:14.094657+00
QUERY-EXEC | loop-3 | m13-q10, END, 2024-01-27 19:43:22.552763+00
QUERY-EXEC | loop-3 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:6:8.458
QUERY-EXEC | loop-3 | n14-q11, START, 2024-01-27 19:43:25.560644+00
QUERY-EXEC | loop-3 | n14-q11, END, 2024-01-27 19:44:40.398551+00
QUERY-EXEC | loop-3 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:1:14.837
QUERY-EXEC | loop-3 | o15-q12a, START, 2024-01-27 19:44:43.406371+00
QUERY-EXEC | loop-3 | o15-q12a, END, 2024-01-27 20:10:57.691300+00
QUERY-EXEC | loop-3 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:26:14.284
QUERY-EXEC | loop-3 | p16-q12b, START, 2024-01-27 20:11:00.699126+00
QUERY-EXEC | loop-3 | p16-q12b, END, 2024-01-27 20:28:05.432261+00
QUERY-EXEC | loop-3 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:17:4.733
QUERY-EXEC | loop-3 | q17-q12c, START, 2024-01-27 20:28:08.440197+00
QUERY-EXEC | loop-3 | q17-q12c, END, 2024-01-27 20:28:53.947467+00
QUERY-EXEC | loop-3 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:45.507
QUERY-SKIP | loop-3 | b2-q2, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-3 | i9-q6, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-3 | l12-q9, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-3 | g7-q5a, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-3 | f6-q4, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-3 | j10-q7, PENALTY, 3600000.000 ms
QUERY-EXEC | loop-4 | a1-q1, START, 2024-01-27 20:28:57.431088+00
QUERY-EXEC | loop-4 | a1-q1, END, 2024-01-27 20:33:08.488896+00
QUERY-EXEC | loop-4 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:4:11.57
QUERY-EXEC | loop-4 | c3-q3a, START, 2024-01-27 20:33:11.496819+00
QUERY-EXEC | loop-4 | c3-q3a, END, 2024-01-27 20:41:37.075434+00
QUERY-EXEC | loop-4 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:8:25.578
QUERY-EXEC | loop-4 | d4-q3b, START, 2024-01-27 20:41:40.083319+00
QUERY-EXEC | loop-4 | d4-q3b, END, 2024-01-27 20:49:19.769963+00
QUERY-EXEC | loop-4 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:7:39.686
QUERY-EXEC | loop-4 | e5-q3c, START, 2024-01-27 20:49:22.777902+00
QUERY-EXEC | loop-4 | e5-q3c, END, 2024-01-27 20:57:03.256252+00
QUERY-EXEC | loop-4 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:7:40.478
QUERY-EXEC | loop-4 | h8-q5b, START, 2024-01-27 20:57:06.264576+00
QUERY-EXEC | loop-4 | h8-q5b, END, 2024-01-27 21:12:08.906479+00
QUERY-EXEC | loop-4 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:15:2.641
QUERY-EXEC | loop-4 | k11-q8, START, 2024-01-27 21:12:11.917038+00
QUERY-EXEC | loop-4 | k11-q8, END, 2024-01-27 21:27:14.501275+00
QUERY-EXEC | loop-4 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:15:2.584
QUERY-EXEC | loop-4 | m13-q10, START, 2024-01-27 21:27:17.509117+00
QUERY-EXEC | loop-4 | m13-q10, END, 2024-01-27 21:33:23.007287+00
QUERY-EXEC | loop-4 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:6:5.498
QUERY-EXEC | loop-4 | n14-q11, START, 2024-01-27 21:33:26.015305+00
QUERY-EXEC | loop-4 | n14-q11, END, 2024-01-27 21:34:40.893509+00
QUERY-EXEC | loop-4 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:1:14.878
QUERY-EXEC | loop-4 | o15-q12a, START, 2024-01-27 21:34:43.901537+00
QUERY-EXEC | loop-4 | o15-q12a, END, 2024-01-27 22:01:04.377730+00
QUERY-EXEC | loop-4 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:26:20.476
QUERY-EXEC | loop-4 | p16-q12b, START, 2024-01-27 22:01:07.385705+00
QUERY-EXEC | loop-4 | p16-q12b, END, 2024-01-27 22:18:17.304371+00
QUERY-EXEC | loop-4 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:17:9.918
QUERY-EXEC | loop-4 | q17-q12c, START, 2024-01-27 22:18:20.312251+00
QUERY-EXEC | loop-4 | q17-q12c, END, 2024-01-27 22:19:05.822771+00
QUERY-EXEC | loop-4 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:45.510
QUERY-SKIP | loop-4 | b2-q2, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-4 | i9-q6, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-4 | l12-q9, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-4 | g7-q5a, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-4 | f6-q4, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-4 | j10-q7, PENALTY, 3600000.000 ms
QUERY-EXEC | loop-5 | a1-q1, START, 2024-01-27 22:19:09.327686+00
QUERY-EXEC | loop-5 | a1-q1, END, 2024-01-27 22:23:20.450412+00
QUERY-EXEC | loop-5 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:4:11.122
QUERY-EXEC | loop-5 | c3-q3a, START, 2024-01-27 22:23:23.458294+00
QUERY-EXEC | loop-5 | c3-q3a, END, 2024-01-27 22:31:48.760198+00
QUERY-EXEC | loop-5 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:8:25.301
QUERY-EXEC | loop-5 | d4-q3b, START, 2024-01-27 22:31:51.768122+00
QUERY-EXEC | loop-5 | d4-q3b, END, 2024-01-27 22:39:34.059861+00
QUERY-EXEC | loop-5 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:7:42.291
QUERY-EXEC | loop-5 | e5-q3c, START, 2024-01-27 22:39:37.067832+00
QUERY-EXEC | loop-5 | e5-q3c, END, 2024-01-27 22:47:18.012788+00
QUERY-EXEC | loop-5 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:7:40.944
QUERY-EXEC | loop-5 | h8-q5b, START, 2024-01-27 22:47:21.020587+00
QUERY-EXEC | loop-5 | h8-q5b, END, 2024-01-27 23:02:36.026510+00
QUERY-EXEC | loop-5 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:15:15.5
QUERY-EXEC | loop-5 | k11-q8, START, 2024-01-27 23:02:39.034817+00
QUERY-EXEC | loop-5 | k11-q8, END, 2024-01-27 23:17:47.272525+00
QUERY-EXEC | loop-5 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:15:8.237
QUERY-EXEC | loop-5 | m13-q10, START, 2024-01-27 23:17:50.280445+00
QUERY-EXEC | loop-5 | m13-q10, END, 2024-01-27 23:23:58.268528+00
QUERY-EXEC | loop-5 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:6:7.988
QUERY-EXEC | loop-5 | n14-q11, START, 2024-01-27 23:24:01.276625+00
QUERY-EXEC | loop-5 | n14-q11, END, 2024-01-27 23:25:15.680297+00
QUERY-EXEC | loop-5 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:1:14.403
QUERY-EXEC | loop-5 | o15-q12a, START, 2024-01-27 23:25:18.688181+00
QUERY-EXEC | loop-5 | o15-q12a, END, 2024-01-27 23:51:48.458073+00
QUERY-EXEC | loop-5 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:26:29.769
QUERY-EXEC | loop-5 | p16-q12b, START, 2024-01-27 23:51:51.466020+00
QUERY-EXEC | loop-5 | p16-q12b, END, 2024-01-28 00:09:33.745729+00
QUERY-EXEC | loop-5 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:17:42.279
QUERY-EXEC | loop-5 | q17-q12c, START, 2024-01-28 00:09:36.753637+00
QUERY-EXEC | loop-5 | q17-q12c, END, 2024-01-28 00:10:22.205692+00
QUERY-EXEC | loop-5 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:45.452
QUERY-SKIP | loop-5 | b2-q2, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-5 | i9-q6, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-5 | l12-q9, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-5 | g7-q5a, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-5 | f6-q4, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-5 | j10-q7, PENALTY, 3600000.000 ms
QUERY-EXEC | loop-6 | a1-q1, START, 2024-01-28 00:10:25.771326+00
QUERY-EXEC | loop-6 | a1-q1, END, 2024-01-28 00:14:44.320579+00
QUERY-EXEC | loop-6 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:4:18.549
QUERY-EXEC | loop-6 | c3-q3a, START, 2024-01-28 00:14:47.328490+00
QUERY-EXEC | loop-6 | c3-q3a, END, 2024-01-28 00:23:17.200434+00
QUERY-EXEC | loop-6 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:8:29.871
QUERY-EXEC | loop-6 | d4-q3b, START, 2024-01-28 00:23:20.208261+00
QUERY-EXEC | loop-6 | d4-q3b, END, 2024-01-28 00:31:01.886629+00
QUERY-EXEC | loop-6 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:7:41.678
QUERY-EXEC | loop-6 | e5-q3c, START, 2024-01-28 00:31:04.894678+00
QUERY-EXEC | loop-6 | e5-q3c, END, 2024-01-28 00:38:44.154309+00
QUERY-EXEC | loop-6 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:7:39.259
QUERY-EXEC | loop-6 | h8-q5b, START, 2024-01-28 00:38:47.162285+00
QUERY-EXEC | loop-6 | h8-q5b, END, 2024-01-28 00:54:10.560450+00
QUERY-EXEC | loop-6 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:15:23.398
QUERY-EXEC | loop-6 | k11-q8, START, 2024-01-28 00:54:13.568381+00
QUERY-EXEC | loop-6 | k11-q8, END, 2024-01-28 01:08:49.334224+00
QUERY-EXEC | loop-6 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:14:35.765
QUERY-EXEC | loop-6 | m13-q10, START, 2024-01-28 01:08:52.342400+00
QUERY-EXEC | loop-6 | m13-q10, END, 2024-01-28 01:14:59.641723+00
QUERY-EXEC | loop-6 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:6:7.299
QUERY-EXEC | loop-6 | n14-q11, START, 2024-01-28 01:15:02.649547+00
QUERY-EXEC | loop-6 | n14-q11, END, 2024-01-28 01:16:16.570970+00
QUERY-EXEC | loop-6 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:1:13.921
QUERY-EXEC | loop-6 | o15-q12a, START, 2024-01-28 01:16:19.578982+00
QUERY-EXEC | loop-6 | o15-q12a, END, 2024-01-28 01:40:18.824537+00
QUERY-EXEC | loop-6 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:23:59.245
QUERY-EXEC | loop-6 | p16-q12b, START, 2024-01-28 01:40:21.832565+00
QUERY-EXEC | loop-6 | p16-q12b, END, 2024-01-28 01:57:41.216593+00
QUERY-EXEC | loop-6 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:17:19.384
QUERY-EXEC | loop-6 | q17-q12c, START, 2024-01-28 01:57:44.225212+00
QUERY-EXEC | loop-6 | q17-q12c, END, 2024-01-28 01:58:29.871402+00
QUERY-EXEC | loop-6 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:45.646
QUERY-SKIP | loop-6 | b2-q2, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-6 | i9-q6, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-6 | l12-q9, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-6 | g7-q5a, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-6 | f6-q4, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-6 | j10-q7, PENALTY, 3600000.000 ms
QUERY-EXEC | loop-7 | a1-q1, START, 2024-01-28 01:58:33.693743+00
QUERY-EXEC | loop-7 | a1-q1, END, 2024-01-28 02:02:44.491720+00
QUERY-EXEC | loop-7 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:4:10.797
QUERY-EXEC | loop-7 | c3-q3a, START, 2024-01-28 02:02:47.499834+00
QUERY-EXEC | loop-7 | c3-q3a, END, 2024-01-28 02:11:12.681584+00
QUERY-EXEC | loop-7 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:8:25.181
QUERY-EXEC | loop-7 | d4-q3b, START, 2024-01-28 02:11:15.689546+00
QUERY-EXEC | loop-7 | d4-q3b, END, 2024-01-28 02:18:55.428844+00
QUERY-EXEC | loop-7 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:7:39.739
QUERY-EXEC | loop-7 | e5-q3c, START, 2024-01-28 02:18:58.436626+00
QUERY-EXEC | loop-7 | e5-q3c, END, 2024-01-28 02:26:38.038596+00
QUERY-EXEC | loop-7 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:7:39.601
QUERY-EXEC | loop-7 | h8-q5b, START, 2024-01-28 02:26:41.046584+00
QUERY-EXEC | loop-7 | h8-q5b, END, 2024-01-28 02:41:47.130510+00
QUERY-EXEC | loop-7 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:15:6.83
QUERY-EXEC | loop-7 | k11-q8, START, 2024-01-28 02:41:50.138595+00
QUERY-EXEC | loop-7 | k11-q8, END, 2024-01-28 02:56:53.829844+00
QUERY-EXEC | loop-7 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:15:3.691
QUERY-EXEC | loop-7 | m13-q10, START, 2024-01-28 02:56:56.837899+00
QUERY-EXEC | loop-7 | m13-q10, END, 2024-01-28 03:03:05.276574+00
QUERY-EXEC | loop-7 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:6:8.438
QUERY-EXEC | loop-7 | n14-q11, START, 2024-01-28 03:03:08.284498+00
QUERY-EXEC | loop-7 | n14-q11, END, 2024-01-28 03:04:22.093498+00
QUERY-EXEC | loop-7 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:1:13.809
QUERY-EXEC | loop-7 | o15-q12a, START, 2024-01-28 03:04:25.101561+00
QUERY-EXEC | loop-7 | o15-q12a, END, 2024-01-28 03:28:23.675888+00
QUERY-EXEC | loop-7 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:23:58.574
QUERY-EXEC | loop-7 | p16-q12b, START, 2024-01-28 03:28:26.683817+00
QUERY-EXEC | loop-7 | p16-q12b, END, 2024-01-28 03:47:23.848537+00
