Process, Parameter, Value
QUERY-EXEC | loop-4 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:1:3.469
QUERY-EXEC | loop-4 | p16-q12b, START, 2024-01-27 04:04:28.744675+00
QUERY-EXEC | loop-4 | p16-q12b, END, 2024-01-27 04:22:59.436707+00
QUERY-EXEC | loop-4 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:18:30.692
QUERY-EXEC | loop-4 | q17-q12c, START, 2024-01-27 04:23:02.444658+00
QUERY-EXEC | loop-4 | q17-q12c, END, 2024-01-27 04:23:55.271039+00
QUERY-EXEC | loop-4 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:52.826
QUERY-SKIP | loop-4 | b2-q2, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-4 | i9-q6, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-4 | o15-q12a, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-4 | l12-q9, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-4 | g7-q5a, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-4 | f6-q4, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-4 | j10-q7, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-4 | k11-q8, PENALTY, 3600000.000 ms
QUERY-EXEC | loop-5 | a1-q1, START, 2024-01-27 04:23:58.751644+00
QUERY-EXEC | loop-5 | a1-q1, END, 2024-01-27 04:28:14.292617+00
QUERY-EXEC | loop-5 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:4:15.540
QUERY-EXEC | loop-5 | c3-q3a, START, 2024-01-27 04:28:17.300490+00
QUERY-EXEC | loop-5 | c3-q3a, END, 2024-01-27 04:36:43.548626+00
QUERY-EXEC | loop-5 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:8:26.248
QUERY-EXEC | loop-5 | d4-q3b, START, 2024-01-27 04:36:46.556518+00
QUERY-EXEC | loop-5 | d4-q3b, END, 2024-01-27 04:44:29.029492+00
QUERY-EXEC | loop-5 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:7:42.472
QUERY-EXEC | loop-5 | e5-q3c, START, 2024-01-27 04:44:32.037246+00
QUERY-EXEC | loop-5 | e5-q3c, END, 2024-01-27 04:52:14.298096+00
QUERY-EXEC | loop-5 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:7:42.260
QUERY-EXEC | loop-5 | h8-q5b, START, 2024-01-27 04:52:17.305980+00
QUERY-EXEC | loop-5 | h8-q5b, END, 2024-01-27 05:12:43.263489+00
QUERY-EXEC | loop-5 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:20:25.957
QUERY-EXEC | loop-5 | m13-q10, START, 2024-01-27 05:12:46.271225+00
QUERY-EXEC | loop-5 | m13-q10, END, 2024-01-27 05:17:56.313661+00
QUERY-EXEC | loop-5 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:5:10.42
QUERY-EXEC | loop-5 | n14-q11, START, 2024-01-27 05:17:59.321278+00
QUERY-EXEC | loop-5 | n14-q11, END, 2024-01-27 05:19:01.938102+00
QUERY-EXEC | loop-5 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:1:2.616
QUERY-EXEC | loop-5 | p16-q12b, START, 2024-01-27 05:19:04.946099+00
QUERY-EXEC | loop-5 | p16-q12b, END, 2024-01-27 05:37:25.679585+00
QUERY-EXEC | loop-5 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:18:20.733
QUERY-EXEC | loop-5 | q17-q12c, START, 2024-01-27 05:37:28.687337+00
QUERY-EXEC | loop-5 | q17-q12c, END, 2024-01-27 05:38:21.588257+00
QUERY-EXEC | loop-5 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:52.900
QUERY-SKIP | loop-5 | b2-q2, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-5 | i9-q6, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-5 | o15-q12a, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-5 | l12-q9, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-5 | g7-q5a, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-5 | f6-q4, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-5 | j10-q7, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-5 | k11-q8, PENALTY, 3600000.000 ms
QUERY-EXEC | loop-6 | a1-q1, START, 2024-01-27 05:38:25.072534+00
QUERY-EXEC | loop-6 | a1-q1, END, 2024-01-27 05:42:38.499333+00
QUERY-EXEC | loop-6 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:4:13.426
QUERY-EXEC | loop-6 | c3-q3a, START, 2024-01-27 05:42:41.507155+00
QUERY-EXEC | loop-6 | c3-q3a, END, 2024-01-27 05:51:09.232764+00
QUERY-EXEC | loop-6 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:8:27.725
QUERY-EXEC | loop-6 | d4-q3b, START, 2024-01-27 05:51:12.240612+00
QUERY-EXEC | loop-6 | d4-q3b, END, 2024-01-27 05:58:56.625620+00
QUERY-EXEC | loop-6 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:7:44.385
QUERY-EXEC | loop-6 | e5-q3c, START, 2024-01-27 05:58:59.633316+00
QUERY-EXEC | loop-6 | e5-q3c, END, 2024-01-27 06:06:42.045547+00
QUERY-EXEC | loop-6 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:7:42.412
QUERY-EXEC | loop-6 | h8-q5b, START, 2024-01-27 06:06:45.053278+00
QUERY-EXEC | loop-6 | h8-q5b, END, 2024-01-27 06:27:39.127252+00
QUERY-EXEC | loop-6 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:20:54.73
QUERY-EXEC | loop-6 | m13-q10, START, 2024-01-27 06:27:42.134739+00
QUERY-EXEC | loop-6 | m13-q10, END, 2024-01-27 06:35:02.009148+00
QUERY-EXEC | loop-6 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:7:19.874
QUERY-EXEC | loop-6 | n14-q11, START, 2024-01-27 06:35:05.016986+00
QUERY-EXEC | loop-6 | n14-q11, END, 2024-01-27 06:36:09.191293+00
QUERY-EXEC | loop-6 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:1:4.174
QUERY-EXEC | loop-6 | p16-q12b, START, 2024-01-27 06:36:12.198960+00
QUERY-EXEC | loop-6 | p16-q12b, END, 2024-01-27 06:54:40.335097+00
QUERY-EXEC | loop-6 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:18:28.136
QUERY-EXEC | loop-6 | q17-q12c, START, 2024-01-27 06:54:43.342713+00
QUERY-EXEC | loop-6 | q17-q12c, END, 2024-01-27 06:55:36.276976+00
QUERY-EXEC | loop-6 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:52.934
QUERY-SKIP | loop-6 | b2-q2, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-6 | i9-q6, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-6 | o15-q12a, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-6 | l12-q9, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-6 | g7-q5a, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-6 | f6-q4, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-6 | j10-q7, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-6 | k11-q8, PENALTY, 3600000.000 ms
QUERY-EXEC | loop-7 | a1-q1, START, 2024-01-27 06:55:39.769992+00
QUERY-EXEC | loop-7 | a1-q1, END, 2024-01-27 06:59:54.693641+00
QUERY-EXEC | loop-7 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:4:14.923
QUERY-EXEC | loop-7 | c3-q3a, START, 2024-01-27 06:59:57.701365+00
QUERY-EXEC | loop-7 | c3-q3a, END, 2024-01-27 07:08:24.911710+00
QUERY-EXEC | loop-7 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:8:27.210
QUERY-EXEC | loop-7 | d4-q3b, START, 2024-01-27 07:08:27.919579+00
QUERY-EXEC | loop-7 | d4-q3b, END, 2024-01-27 07:16:11.982977+00
QUERY-EXEC | loop-7 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:7:44.63
QUERY-EXEC | loop-7 | e5-q3c, START, 2024-01-27 07:16:14.990681+00
QUERY-EXEC | loop-7 | e5-q3c, END, 2024-01-27 07:23:57.534166+00
QUERY-EXEC | loop-7 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:7:42.543
QUERY-EXEC | loop-7 | h8-q5b, START, 2024-01-27 07:24:00.541973+00
QUERY-EXEC | loop-7 | h8-q5b, END, 2024-01-27 07:44:25.151230+00
QUERY-EXEC | loop-7 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:20:24.609
QUERY-EXEC | loop-7 | m13-q10, START, 2024-01-27 07:44:28.158965+00
QUERY-EXEC | loop-7 | m13-q10, END, 2024-01-27 07:49:42.927352+00
QUERY-EXEC | loop-7 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:5:14.768
QUERY-EXEC | loop-7 | n14-q11, START, 2024-01-27 07:49:45.935353+00
QUERY-EXEC | loop-7 | n14-q11, END, 2024-01-27 07:50:48.853966+00
QUERY-EXEC | loop-7 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:1:2.918
QUERY-EXEC | loop-7 | p16-q12b, START, 2024-01-27 07:50:51.861784+00
QUERY-EXEC | loop-7 | p16-q12b, END, 2024-01-27 08:10:03.478406+00
QUERY-EXEC | loop-7 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:19:11.616
QUERY-EXEC | loop-7 | q17-q12c, START, 2024-01-27 08:10:06.486110+00
QUERY-EXEC | loop-7 | q17-q12c, END, 2024-01-27 08:10:59.342752+00
QUERY-EXEC | loop-7 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:52.856
QUERY-SKIP | loop-7 | b2-q2, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-7 | i9-q6, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-7 | o15-q12a, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-7 | l12-q9, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-7 | g7-q5a, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-7 | f6-q4, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-7 | j10-q7, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-7 | k11-q8, PENALTY, 3600000.000 ms
QUERY-EXEC | loop-8 | a1-q1, START, 2024-01-27 08:11:02.833902+00
QUERY-EXEC | loop-8 | a1-q1, END, 2024-01-27 08:15:14.168787+00
QUERY-EXEC | loop-8 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:4:11.334
QUERY-EXEC | loop-8 | c3-q3a, START, 2024-01-27 08:15:17.176613+00
QUERY-EXEC | loop-8 | c3-q3a, END, 2024-01-27 08:23:43.331718+00
QUERY-EXEC | loop-8 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:8:26.155
QUERY-EXEC | loop-8 | d4-q3b, START, 2024-01-27 08:23:46.339524+00
QUERY-EXEC | loop-8 | d4-q3b, END, 2024-01-27 08:31:28.747558+00
QUERY-EXEC | loop-8 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:7:42.408
QUERY-EXEC | loop-8 | e5-q3c, START, 2024-01-27 08:31:31.755617+00
QUERY-EXEC | loop-8 | e5-q3c, END, 2024-01-27 08:39:14.071197+00
QUERY-EXEC | loop-8 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:7:42.315
QUERY-EXEC | loop-8 | h8-q5b, START, 2024-01-27 08:39:17.078985+00
QUERY-EXEC | loop-8 | h8-q5b, END, 2024-01-27 08:59:39.966354+00
QUERY-EXEC | loop-8 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:20:22.887
